title,funder,funder_type,total_assets,total_giving,avg_grant_amount,median_grant_amount,ein,address,phone,website,contacts,notes,status,next_task,deadline,amount,mission_keywords,program_area_keywords,geographic_focus_keywords,funding_type_keywords,exclusion_keywords,keyword_enriched_by,keyword_enriched_at
LOISABA COMMUNITY CONSERVATION FOUNDATION INC,LOISABA COMMUNITY CONSERVATION FOUNDATION INC,Possible Foundation / Grantmaker,,,,,140503540,"PO BOX 655, SARATOGA SPGS, NY 12866-0655",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
AMHERST YOUTH FOUNDATION INCORPORATED,AMHERST YOUTH FOUNDATION INCORPORATED,Possible Foundation / Grantmaker,,,,,161206430,"5005 SHERIDAN DR, BUFFALO, NY 14221-4549",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
FIRST SHILOH YOUTH FOUNDATION INC,FIRST SHILOH YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,161424081,"15 PINE ST, BUFFALO, NY 14204-2042",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CHARLES H BASSETT YOUTH FOUNDATION INC,CHARLES H BASSETT YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,161467372,"34 12 LAKE STREET, OWEGO, NY 13827-1865",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
MELINDA GRAY ARDIA ENVIRONMENTAL FOUNDATION LTD,MELINDA GRAY ARDIA ENVIRONMENTAL FOUNDATION LTD,Possible Foundation / Grantmaker,,,,,161499155,"6425 CLOVERLEAF CIR, EAST AMHERST, NY 14051-2051",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CONSERVATION AWARENESS FOUNDATION INC,CONSERVATION AWARENESS FOUNDATION INC,Possible Foundation / Grantmaker,,,,,161514649,"PO BOX 3201, POUGHKEEPSIE, NY 12603-0201",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
SOUND SHORE YOUTH FOUNDATION INC,SOUND SHORE YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,223399011,"PO BOX 650, RYE, NY 10580-0650",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
FRIENDS OF RYE SUSTAINABILITY COMMITTEE FOUNDATION,FRIENDS OF RYE SUSTAINABILITY COMMITTEE FOUNDATION,Possible Foundation / Grantmaker,,,,,993273128,"105 HIX AVE, RYE, NY 10580-2400",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
ENVIRONMENTAL EDUCATION FOUNDATION OF SOIL AND WATER CONSERVATION,ENVIRONMENTAL EDUCATION FOUNDATION OF SOIL AND WATER CONSERVATION,Possible Foundation / Grantmaker,,,,,161635274,"7413 COUNTY HOUSE RD, AUBURN, NY 13021-8216",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH SUCCESS GLOBAL FOUNDATION INC,YOUTH SUCCESS GLOBAL FOUNDATION INC,Possible Foundation / Grantmaker,,,,,043835042,"8917 209TH ST, QUEENS VLG, NY 11427-2222",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
